Term,Total_TF,DF,IDF,Max_TFIDF
nine,206,134,2.3464,0.1173
panel,204,45,3.4376,0.4741
skin,204,95,2.6904,0.2374
experi,201,152,2.2203,0.1432
term,201,158,2.1816,0.1454
mean,198,150,2.2336,0.1249
viscous,197,122,2.4402,0.1525
structur,195,107,2.5714,0.2755
assum,190,158,2.1816,0.1169
direct,189,151,2.2269,0.0909
possibl,189,154,2.2073,0.138
well,188,167,2.1262,0.1046
ten,187,133,2.3539,0.1272
requir,187,146,2.2606,0.1468
various,187,162,2.1566,0.2087
motion,186,120,2.4567,0.2362
gradient,185,111,2.5347,0.1653
slender,185,96,2.6799,0.1696
maximum,184,115,2.4993,0.1879
curv,184,123,2.432,0.2162
local,183,125,2.4159,0.1318
near,183,131,2.369,0.1481
profil,183,110,2.5437,0.1696
vari,182,144,2.2744,0.0978
wind,182,127,2.4,0.2
normal,181,129,2.3844,0.1084
express,180,134,2.3464,0.0998
thermal,179,90,2.7444,0.358
airfoil,179,66,3.0546,0.3302
static,178,95,2.6904,0.2421
distanc,175,116,2.4906,0.2669
chang,175,122,2.4402,0.1525
incompress,175,132,2.3614,0.1574
comput,175,124,2.4239,0.1233
consider,174,159,2.1753,0.0725
initi,174,109,2.5529,0.2015
tube,173,71,2.9815,0.3598
along,173,137,2.3242,0.1367
part,173,111,2.5347,0.1152
combin,171,111,2.5347,0.2571
describ,171,154,2.2073,0.096
due,171,143,2.2814,0.1448
limit,170,136,2.3316,0.1029
friction,169,88,2.7669,0.2441
reduc,169,131,2.369,0.1065
cylindr,167,99,2.6491,0.1589
length,167,102,2.6193,0.1871
moment,166,95,2.6904,0.1306
sever,166,132,2.3614,0.1476
give,165,144,2.2744,0.1058
subson,164,113,2.5168,0.1864
interact,163,90,2.7444,0.2048
plane,159,96,2.6799,0.1649
comparison,159,140,2.3026,0.0959
deflect,158,87,2.7783,0.1752
formula,156,102,2.6193,0.177
depend,156,125,2.4159,0.0966
equilibrium,155,82,2.8375,0.1811
particular,155,134,2.3464,0.0978
exampl,154,137,2.3242,0.1011
properti,154,111,2.5347,0.2816
second,154,110,2.5437,0.1696
occur,154,123,2.432,0.0973
inject,152,43,3.483,0.3126
steadi,151,106,2.5808,0.178
cool,148,65,3.0698,0.2253
good,146,136,2.3316,0.063
differenti,145,105,2.5903,0.1727
densiti,144,88,2.7669,0.1516
correspond,141,112,2.5257,0.1365
exact,140,116,2.4906,0.0906
work,140,113,2.5168,0.136
note,138,118,2.4735,0.1178
atmospher,137,77,2.9004,0.2417
influenc,137,101,2.6291,0.1384
certain,136,120,2.4567,0.1755
provid,136,123,2.432,0.1057
energi,135,99,2.6491,0.3311
estim,135,105,2.5903,0.1439
power,134,92,2.7224,0.1176
twenti,134,106,2.5808,0.1259
frequenc,133,56,3.2189,0.2409
aspect,133,76,2.9135,0.1777
exist,132,117,2.4821,0.1295
bend,131,69,3.0101,0.3254
aircraft,131,71,2.9815,0.2556
analyt,130,106,2.5808,0.1075
correl,130,85,2.8016,0.1893
observ,130,97,2.6695,0.0861
assumpt,130,108,2.5621,0.1165
decreas,129,89,2.7556,0.0958
configur,129,81,2.8498,0.1781
critic,129,75,2.9267,0.1951
expans,128,76,2.9135,0.1982
thousand,127,89,2.7556,0.106
vehicl,127,65,3.0698,0.2646
import,127,110,2.5437,0.1131
displac,126,76,2.9135,0.1748
revolut,126,77,2.9004,0.1568
system,126,84,2.8134,0.2269
conic,125,66,3.0546,0.2735
author,125,88,2.7669,0.1318
symmetr,125,84,2.8134,0.1688
diamet,124,80,2.8622,0.1212
rough,124,36,3.6607,0.4197
howev,124,110,2.5437,0.0652
approach,121,96,2.6799,0.1608
past,121,83,2.8254,0.2093
seri,121,85,2.8016,0.1273
elast,120,82,2.8375,0.2027
locat,120,80,2.8622,0.1568
higher,120,106,2.5808,0.1032
transon,120,63,3.1011,0.2481
techniqu,120,99,2.6491,0.2208
detail,120,105,2.5903,0.1196
within,119,107,2.5714,0.0918
subject,119,98,2.6593,0.14
mix,118,54,3.2552,0.383
inviscid,118,79,2.8748,0.1643
total,117,87,2.7783,0.1355
procedur,117,88,2.7669,0.1287
report,117,103,2.6095,0.1087
control,116,61,3.1334,0.2474
close,116,96,2.6799,0.114
involv,115,101,2.6291,0.1223
previous,114,105,2.5903,0.1727
practic,114,100,2.6391,0.088
arbitrari,114,87,2.7783,0.1082
dynam,114,79,2.8748,0.25
finit,112,83,2.8254,0.1823
addit,112,96,2.6799,0.1288
materi,111,69,3.0101,0.1843
mass,111,71,2.9815,0.1296
perform,111,81,2.8498,0.3638
wake,110,46,3.4156,0.3595
infinit,110,87,2.7783,0.1462
repres,110,97,2.6695,0.109
oscil,109,58,3.1838,0.3032
posit,108,83,2.8254,0.113
factor,108,80,2.8622,0.1431
extern,108,74,2.9402,0.1633
mode,108,60,3.1499,0.21
extend,108,91,2.7334,0.1188
behind,108,68,3.0247,0.1592
line,107,72,2.9676,0.1746
cross,107,70,2.9957,0.2179
appear,107,95,2.6904,0.0868
vibrat,107,56,3.2189,0.2813
signific,106,91,2.7334,0.1271
new,104,78,2.8875,0.1486
pitch,104,66,3.0546,0.1035
percent,104,65,3.0698,0.1154
recent,104,92,2.7224,0.1492
known,104,89,2.7556,0.1312
per,103,82,2.8375,0.1207
magnet,103,39,3.5807,0.2558
support,103,70,2.9957,0.2456
propel,102,35,3.6889,0.233
creep,102,35,3.6889,0.476
vortic,102,52,3.293,0.3213
variabl,102,85,2.8016,0.1751
area,101,59,3.1667,0.1955
oper,101,67,3.0395,0.1414
transform,100,63,3.1011,0.3578
transvers,100,61,3.1334,0.2507
incid,100,59,3.1667,0.1667
complet,99,87,2.7783,0.1736
solv,99,82,2.8375,0.227
induc,98,73,2.9538,0.1284
respect,98,91,2.7334,0.0882
process,97,73,2.9538,0.1284
downstream,97,63,3.1011,0.1755
upon,96,74,2.9402,0.1378
refer,96,71,2.9815,0.1754
fifti,95,78,2.8875,0.1147
less,95,82,2.8375,0.0728
thirti,94,82,2.8375,0.1207
produc,94,78,2.8875,0.0942
blade,94,33,3.7477,0.2855
interfer,94,46,3.4156,0.2813
law,93,53,3.2739,0.2976
treat,93,79,2.8748,0.115
yaw,93,37,3.6333,0.3545
disturb,93,59,3.1667,0.1863
modifi,93,76,2.9135,0.0896
consist,92,77,2.9004,0.1289
strength,92,64,3.0853,0.2153
avail,92,81,2.8498,0.1009
main,92,76,2.9135,0.1121
vortex,91,33,3.7477,0.3569
sonic,91,55,3.2369,0.1904
forti,91,60,3.1499,0.2477
accuraci,91,75,2.9267,0.1148
dissoci,90,40,3.5553,0.1693
lower,89,76,2.9135,0.1121
trail,89,45,3.4376,0.2594
column,89,36,3.6607,0.3543
viscos,89,63,3.1011,0.132
convect,89,45,3.4376,0.2787
yield,88,74,2.9402,0.1336
scale,88,51,3.3124,0.179
non,87,63,3.1011,0.1292
stiffen,87,36,3.6607,0.3051
potenti,87,58,3.1838,0.1769
extens,86,78,2.8875,0.1283
specif,86,63,3.1011,0.1
evalu,86,70,2.9957,0.0999
accur,86,75,2.9267,0.1829
valid,86,70,2.9957,0.0977
associ,85,68,3.0247,0.1163
state,85,72,2.9676,0.1535
entri,85,40,3.5553,0.2177
ground,84,32,3.7785,0.2952
without,84,76,2.9135,0.1143
suggest,84,73,2.9538,0.1136
account,83,82,2.8375,0.1234
correct,83,72,2.9676,0.1459
thus,83,77,2.9004,0.0829
follow,83,77,2.9004,0.1018
curvatur,83,48,3.373,0.2008
rectangular,82,55,3.2369,0.1579
magnitud,82,73,2.9538,0.1284
employ,82,70,2.9957,0.0922
rapid,82,67,3.0395,0.098
would,82,64,3.0853,0.0762
set,82,67,3.0395,0.1414
reason,81,72,2.9676,0.129
presenc,81,68,3.0247,0.189
special,81,75,2.9267,0.1272
parallel,81,67,3.0395,0.1643
either,80,71,2.9815,0.1325
thrust,80,33,3.7477,0.3156
forward,80,47,3.3941,0.1234
nois,80,29,3.8769,0.3371
prandtl,80,63,3.1011,0.1348
caus,79,70,2.9957,0.0731
unsteadi,79,46,3.4156,0.2234
sound,79,37,3.6333,0.1975
sphere,79,39,3.5807,0.2754
newtonian,79,44,3.46,0.1602
carri,78,75,2.9267,0.1171
physic,78,64,3.0853,0.1435
greater,77,68,3.0247,0.0677
damp,77,43,3.483,0.2322
reduct,77,55,3.2369,0.0918
illustr,77,72,2.9676,0.129
purpos,77,76,2.9135,0.091
basi,76,68,3.0247,0.0864
tail,75,23,4.1087,0.321
take,75,65,3.0698,0.1279
continu,75,56,3.2189,0.2299
axi,74,50,3.3322,0.1562
singl,74,62,3.1171,0.1521
move,74,59,3.1667,0.1508
concern,74,65,3.0698,0.1279
behavior,74,61,3.1334,0.1011
compressor,74,20,4.2485,0.452
altitud,74,45,3.4376,0.2148
sharp,74,53,3.2739,0.1871
interest,74,65,3.0698,0.1335
height,73,34,3.7179,0.2479
compon,73,62,3.1171,0.114
research,73,58,3.1838,0.1274
long,73,60,3.1499,0.1658
vertic,73,43,3.483,0.275
axisymmetr,73,53,3.2739,0.2284
portion,72,56,3.2189,0.1694
much,72,66,3.0546,0.0898
rocket,72,34,3.7179,0.2888
longitudin,72,50,3.3322,0.2298
deform,71,47,3.3941,0.2057
flap,71,18,4.3539,0.4898
rotat,71,45,3.4376,0.1875
half,71,50,3.3322,0.1515
squar,71,55,3.2369,0.1541
radius,70,51,3.3124,0.207
chord,70,42,3.5066,0.2045
generat,69,51,3.3124,0.144
stage,69,26,3.9861,0.3392
examin,69,63,3.1011,0.0969
converg,69,47,3.3941,0.5903
pattern,69,51,3.3124,0.207
except,68,63,3.1011,0.2907
strain,68,39,3.5807,0.4883
momentum,68,56,3.2189,0.092
exit,68,30,3.843,0.2244
helium,68,39,3.5807,0.2203
center,67,39,3.5807,0.2238
degre,67,54,3.2552,0.1744
introduc,66,64,3.0853,0.1286
mechan,66,46,3.4156,0.2135
final,66,61,3.1334,0.0764
although,66,62,3.1171,0.0611
could,66,62,3.1171,0.063
plastic,65,30,3.843,0.2562
intern,65,44,3.46,0.2288
electr,65,44,3.46,0.2163
nonlinear,65,43,3.483,0.3166
diffus,65,40,3.5553,0.2222
concept,64,52,3.293,0.26
afterbodi,64,29,3.8769,0.262
analyz,64,62,3.1171,0.1355
around,64,55,3.2369,0.1295
essenti,64,60,3.1499,0.0875
taken,64,59,3.1667,0.0792
level,64,43,3.483,0.1393
simplifi,63,59,3.1667,0.181
agre,63,59,3.1667,0.0812
usual,63,63,3.1011,0.1
exhaust,63,29,3.8769,0.1731
hemispher,63,31,3.8102,0.1732
solid,63,41,3.5307,0.2207
radiat,62,35,3.6889,0.2258
manner,62,59,3.1667,0.096
natur,62,55,3.2369,0.2312
review,62,52,3.293,0.1804
span,62,42,3.5066,0.2505
necessari,62,59,3.1667,0.1022
later,62,46,3.4156,0.2277
instabl,62,38,3.6066,0.3136
reaction,61,31,3.8102,0.3664
side,61,34,3.7179,0.1761
missil,61,32,3.7785,0.3193
strong,61,46,3.4156,0.168
analog,61,53,3.2739,0.1955
wedg,61,42,3.5066,0.2192
step,61,32,3.7785,0.1661
clamp,60,31,3.8102,0.3687
independ,60,55,3.2369,0.083
enthalpi,60,35,3.6889,0.1921
engin,60,36,3.6607,0.1592
roll,60,26,3.9861,0.2657
equal,59,56,3.2189,0.1288
must,59,49,3.3524,0.1273
aerofoil,59,30,3.843,0.2597
outer,59,42,3.5066,0.123
imperfect,59,24,4.0662,0.3189
simpli,59,39,3.5807,0.2865
end,59,39,3.5807,0.434
diverg,58,38,3.6066,0.2122
delta,58,35,3.6889,0.2306
fix,58,42,3.5066,0.1582
chemic,58,39,3.5807,0.1535
conclus,58,53,3.2739,0.1423
fatigu,58,22,4.1532,0.4829
airplan,58,30,3.843,0.183
wide,58,51,3.3124,0.0974
cover,57,55,3.2369,0.1407
reflect,57,35,3.6889,0.15
rise,57,43,3.483,0.1742
weight,57,39,3.5807,0.1377
ellipt,57,37,3.6333,0.2271
slight,57,52,3.293,0.1432
becom,56,52,3.293,0.089
tip,56,26,3.9861,0.2718
neglect,56,45,3.4376,0.1809
satellit,56,32,3.7785,0.3149
sixti,56,45,3.4376,0.1403
spheric,55,37,3.6333,0.1135
establish,55,50,3.3322,0.1666
equival,55,45,3.4376,0.1109
rigid,55,34,3.7179,0.3914
radial,55,37,3.6333,0.2019
origin,55,48,3.373,0.1297
formul,55,52,3.293,0.0803
minimum,54,43,3.483,0.1883
defin,54,48,3.373,0.1184
sourc,54,35,3.6889,0.1746
inform,54,44,3.46,0.1472
geometri,54,50,3.3322,0.1025
core,54,25,4.0254,0.2562
transient,53,35,3.6889,0.2031
ideal,53,37,3.6333,0.1615
sinc,53,49,3.3524,0.0818
classic,53,41,3.5307,0.1605
improv,53,44,3.46,0.2163
asymptot,53,42,3.5066,0.2125
propos,53,46,3.4156,0.1394
basic,53,41,3.5307,0.1545
element,52,28,3.912,0.2729
remain,52,50,3.3322,0.074
size,52,41,3.5307,0.1146
even,52,48,3.373,0.1054
twelv,52,32,3.7785,0.2907
make,52,50,3.3322,0.0926
satisfactori,52,49,3.3524,0.0729
affect,52,45,3.4376,0.0929
upper,52,41,3.5307,0.1471
suffici,52,47,3.3941,0.1029
averag,52,41,3.5307,0.1358
porous,51,29,3.8769,0.3061
featur,51,49,3.3524,0.1458
coordin,51,36,3.6607,0.1381
stall,51,17,4.411,0.3466
gase,50,38,3.6066,0.2004
thermodynam,50,31,3.8102,0.2931
amount,50,43,3.483,0.1181
slope,50,38,3.6066,0.1414
regim,50,30,3.843,0.1525
tabl,49,36,3.6607,0.4067
detach,49,27,3.9484,0.423
govern,49,45,3.4376,0.191
chart,49,30,3.843,0.3116
accord,49,44,3.46,0.1018
short,49,40,3.5553,0.2735
suitabl,48,45,3.4376,0.1074
upstream,48,38,3.6066,0.1472
far,48,40,3.5553,0.1031
orbit,48,17,4.411,0.4524
fifteen,48,40,3.5553,0.1185
whose,48,42,3.5066,0.1275
survey,48,40,3.5553,0.2294
conclud,47,46,3.4156,0.0949
restrict,47,43,3.483,0.1088
success,47,42,3.5066,0.0923
across,47,45,3.4376,0.0781
simul,47,35,3.6889,0.227
error,47,33,3.7477,0.1022
torsion,46,32,3.7785,0.2223
cent,46,41,3.5307,0.0474
find,46,33,3.7477,0.3407
ablat,46,15,4.5362,0.422
relax,46,27,3.9484,0.3159
attach,46,33,3.7477,0.1704
appropri,46,44,3.46,0.1116
partial,46,40,3.5553,0.237
moder,45,39,3.5807,0.0995
allow,45,39,3.5807,0.1155
mani,45,41,3.5307,0.107
face,45,27,3.9484,0.1974
ordinari,45,39,3.5807,0.0814
quantiti,45,37,3.6333,0.1453
entir,45,44,3.46,0.1236
construct,45,41,3.5307,0.1412
slipstream,45,15,4.5362,0.2871
aris,45,40,3.5553,0.1513
great,45,41,3.5307,0.1038
intens,45,28,3.912,0.1981
downwash,45,20,4.2485,0.1226
real,44,33,3.7477,0.1785
substanti,44,41,3.5307,0.0692
satisfi,44,34,3.7179,0.1416
appar,44,34,3.7179,0.0941
treatment,44,41,3.5307,0.0831
resist,44,25,4.0254,0.3896
semi,44,35,3.6889,0.119
full,44,31,3.8102,0.1905
uniti,44,35,3.6889,0.1272
actual,43,41,3.5307,0.0785
mathemat,43,40,3.5553,0.1654
latter,43,41,3.5307,0.0929
expect,43,40,3.5553,0.0646
front,43,33,3.7477,0.1441
acceler,43,29,3.8769,0.3371
demonstr,43,41,3.5307,0.1009
swept,43,33,3.7477,0.2044
effici,42,26,3.9861,0.1826
perfect,42,36,3.6607,0.1558
larger,42,39,3.5807,0.0731
spanwis,42,25,4.0254,0.1331
karman,42,38,3.6066,0.1002
appreci,42,39,3.5807,0.1404
optimum,42,28,3.912,0.1834
togeth,42,40,3.5553,0.1616
acoust,42,15,4.5362,0.3736
space,42,34,3.7179,0.1582
pitot,42,18,4.3539,0.2721
contain,42,41,3.5307,0.1103
failur,41,34,3.7179,0.1328
eighti,41,35,3.6889,0.1011
major,41,36,3.6607,0.0893
respons,41,23,4.1087,0.2834
simultan,41,36,3.6607,0.1061
product,41,25,4.0254,0.2808
proport,41,39,3.5807,0.1665
principl,41,33,3.7477,0.2342
reach,41,36,3.6607,0.1592
planform,41,23,4.1087,0.149
concentr,41,31,3.8102,0.1494
streamlin,41,32,3.7785,0.1374
modif,41,35,3.6889,0.0971
permit,40,39,3.5807,0.0968
shallow,40,20,4.2485,0.2499
interpret,40,35,3.6889,0.157
util,40,36,3.6607,0.1077
pure,40,31,3.8102,0.206
convent,40,37,3.6333,0.079
flexibl,40,22,4.1532,0.2351
iter,40,25,4.0254,0.7001
briefli,40,39,3.5807,0.1194
neglig,40,36,3.6607,0.1003
attent,39,36,3.6607,0.2288
volum,39,24,4.0662,0.4396
typic,39,38,3.6066,0.0925
enter,39,30,3.843,0.1478
straight,39,31,3.8102,0.1979
period,39,29,3.8769,0.1846
recoveri,39,26,3.9861,0.1993
negat,39,29,3.8769,0.19
need,38,35,3.6889,0.1317
current,38,32,3.7785,0.1608
beam,38,17,4.411,0.3151
head,38,20,4.2485,0.1914
peak,38,21,4.1997,0.2291
fulli,38,30,3.843,0.1114
channel,38,17,4.411,0.4411
suction,38,20,4.2485,0.2499
achiev,38,35,3.6889,0.0868
nineti,38,30,3.843,0.1053
phenomena,38,32,3.7785,0.1718
fluctuat,38,24,4.0662,0.2224
path,38,31,3.8102,0.2598
fair,38,36,3.6607,0.0915
attempt,37,36,3.6607,0.1592
liquid,37,22,4.1532,0.2569
empir,37,31,3.8102,0.2381
fundament,37,31,3.8102,0.0977
stoke,37,24,4.0662,0.1848
hot,37,27,3.9484,0.1179
deceler,37,18,4.3539,0.2292
inch,37,31,3.8102,0.1657
deal,37,34,3.7179,0.143
deviat,37,26,3.9861,0.1265
width,37,22,4.1532,0.1462
way,37,36,3.6607,0.1525
stiff,37,23,4.1087,0.2568
random,37,19,4.2998,0.2922
extrem,37,25,4.0254,0.1477
boom,37,12,4.7593,0.3038
therefor,37,37,3.6333,0.0712
fine,37,21,4.1997,0.1667
descript,37,34,3.7179,0.1616
qualit,37,37,3.6333,0.0886
rather,36,34,3.7179,0.0953
naca,36,28,3.912,0.1326
publish,36,33,3.7477,0.1136
quasi,36,20,4.2485,0.2236
perturb,36,24,4.0662,0.1708
molecul,36,23,4.1087,0.2834
ring,36,20,4.2485,0.4552
outsid,36,31,3.8102,0.1089
regard,35,34,3.7179,0.1199
von,35,29,3.8769,0.1077
particl,35,15,4.5362,0.3728
growth,35,25,4.0254,0.3299
class,35,28,3.912,0.1505
insul,35,24,4.0662,0.1718
tabul,35,26,3.9861,0.1854
plan,35,28,3.912,0.0968
analys,35,34,3.7179,0.0953
nonequilibrium,35,17,4.411,0.2005
preliminari,34,33,3.7477,0.0872
prescrib,34,25,4.0254,0.3096
mixtur,34,22,4.1532,0.1567
oscillatori,34,21,4.1997,0.336
place,34,33,3.7477,0.1041
propuls,34,19,4.2998,0.2922
behaviour,34,27,3.9484,0.2008
evid,34,34,3.7179,0.0845
transport,34,23,4.1087,0.2283
coupl,34,21,4.1997,0.1969
slip,34,17,4.411,0.2801
turbin,33,14,4.6052,0.4899
fact,33,31,3.8102,0.0907
stationari,33,28,3.912,0.2115
camber,33,22,4.1532,0.1408
connect,33,33,3.7477,0.1171
quit,33,30,3.843,0.124
revers,33,23,4.1087,0.2867
knowledg,33,30,3.843,0.124
exceed,33,30,3.843,0.1141
relationship,33,27,3.9484,0.2755
discontinu,33,21,4.1997,0.1909
eleven,33,30,3.843,0.0674
circumferenti,33,26,3.9861,0.1638
excit,33,23,4.1087,0.134
combust,32,15,4.5362,0.2326
view,32,29,3.8769,0.2154
criterion,32,21,4.1997,0.1909
smooth,32,28,3.912,0.0978
start,32,26,3.9861,0.1318
loss,32,23,4.1087,0.3244
turn,32,28,3.912,0.0899
composit,32,23,4.1087,0.3287
foot,32,25,4.0254,0.161
ballist,32,22,4.1532,0.1298
plot,32,24,4.0662,0.1056
magnetohydrodynam,32,25,4.0254,0.3096
unit,32,23,4.1087,0.1677
machin,31,20,4.2485,0.1287
desir,31,27,3.9484,0.0858
fuselag,31,21,4.1997,0.1292
earth,31,21,4.1997,0.1853
sweep,31,20,4.2485,0.1808
least,31,30,3.843,0.2402
pohlhausen,31,23,4.1087,0.0923
impel,31,8,5.1648,0.3587
contribut,31,27,3.9484,0.1161
program,31,23,4.1087,0.2505
phenomenon,31,29,3.8769,0.1212
light,30,28,3.912,0.1505
geometr,30,26,3.9861,0.2044
throughout,30,28,3.912,0.1565
bow,30,24,4.0662,0.0968
sheet,30,17,4.411,0.2005
langley,30,25,4.0254,0.0936
brief,30,30,3.843,0.124
extent,30,26,3.9861,0.0997
tend,30,28,3.912,0.1134
explicit,30,28,3.912,0.1565
symmetri,30,26,3.9861,0.1049
mount,30,20,4.2485,0.1583
parabol,30,21,4.1997,0.1714
doubl,30,24,4.0662,0.1099
dimens,29,24,4.0662,0.1848
explain,29,23,4.1087,0.0798
laboratori,29,28,3.912,0.1863
vicin,29,23,4.1087,0.137
chordwis,29,19,4.2998,0.1509
advers,29,23,4.1087,0.0945
station,29,24,4.0662,0.1004
donnel,29,19,4.2998,0.3583
root,29,22,4.1532,0.3236
sandwich,29,13,4.6793,0.319
medium,29,19,4.2998,0.2965
invers,29,24,4.0662,0.1936
flare,29,7,5.2983,0.2185
encount,29,29,3.8769,0.0923
complex,29,25,4.0254,0.0951
contour,29,17,4.411,0.1408
increment,29,17,4.411,0.2005
seventi,29,26,3.9861,0.0814
object,29,25,4.0254,0.2156
replac,29,27,3.9484,0.1097
kinet,29,25,4.0254,0.115
tangent,29,19,4.2998,0.2867
piston,29,11,4.8463,0.2736
unknown,28,23,4.1087,0.1096
intermedi,28,22,4.1532,0.173
act,28,23,4.1087,0.2107
beyond,28,26,3.9861,0.1022
gust,28,12,4.7593,0.5949
stabl,28,18,4.3539,0.1319
ahead,28,21,4.1997,0.14
amplitud,28,22,4.1532,0.0966
favor,28,24,4.0662,0.1043
tilt,28,11,4.8463,0.2551
water,28,14,4.6052,0.3437
weak,28,22,4.1532,0.1695
cantilev,27,17,4.411,0.1764
taper,27,21,4.1997,0.0823
avoid,27,25,4.0254,0.0856
slab,27,14,4.6052,0.3759
triangular,27,19,4.2998,0.1387
overal,27,22,4.1532,0.3535
corner,27,17,4.411,0.2521
advantag,27,25,4.0254,0.0936
nitrogen,27,16,4.4716,0.271
fin,27,11,4.8463,0.5592
blasius,27,15,4.5362,0.2835
streamwis,27,21,4.1997,0.12
adjac,27,24,4.0662,0.1807
conserv,27,20,4.2485,0.3319
third,27,23,4.1087,0.2283
