Query_ID,Doc_ID,Rank,Term,W_query,W_doc,Dot_Product_Contrib,Query_Norm,Doc_Norm,Total_Cosine_Sim
2,51,2,structur,0.3214,0.1714,0.0551,0.9407,0.5059,0.3411
2,51,2,aircraft,0.3727,0.2556,0.0952,0.9407,0.5059,0.3411
2,51,2,speed,0.1959,0.0149,0.0029,0.9407,0.5059,0.3411
2,51,2,problem,0.1833,0.014,0.0026,0.9407,0.5059,0.3411
2,746,3,aeroelast,0.5442,0.1765,0.0961,0.9407,0.4325,0.317
2,746,3,flight,0.2924,0.0316,0.0092,0.9407,0.4325,0.317
2,746,3,speed,0.1959,0.0212,0.0042,0.9407,0.4325,0.317
2,746,3,problem,0.1833,0.0793,0.0145,0.9407,0.4325,0.317
2,746,3,high,0.2148,0.0232,0.005,0.9407,0.4325,0.317
2,184,4,aeroelast,0.5442,0.1574,0.0856,0.9407,0.4387,0.2641
2,184,4,structur,0.3214,0.031,0.01,0.9407,0.4387,0.2641
2,184,4,aircraft,0.3727,0.0359,0.0134,0.9407,0.4387,0.2641
2,1169,5,flight,0.2924,0.1271,0.0372,0.9407,0.5052,0.2255
2,1169,5,aircraft,0.3727,0.162,0.0604,0.9407,0.5052,0.2255
2,1169,5,speed,0.1959,0.0341,0.0067,0.9407,0.5052,0.2255
2,1169,5,problem,0.1833,0.0159,0.0029,0.9407,0.5052,0.2255
2,884,6,structur,0.3214,0.2637,0.0848,0.9407,0.8087,0.2238
2,884,6,aircraft,0.3727,0.2294,0.0855,0.9407,0.8087,0.2238
2,100,7,structur,0.3214,0.0779,0.025,0.9407,0.4578,0.2157
2,100,7,aircraft,0.3727,0.1355,0.0505,0.9407,0.4578,0.2157
2,100,7,associ,0.3781,0.0458,0.0173,0.9407,0.4578,0.2157
2,14,8,aeroelast,0.5442,0.0586,0.0319,0.9407,0.272,0.1885
2,14,8,flight,0.2924,0.0105,0.0031,0.9407,0.272,0.1885
2,14,8,aircraft,0.3727,0.0134,0.005,0.9407,0.272,0.1885
2,14,8,speed,0.1959,0.007,0.0014,0.9407,0.272,0.1885
2,14,8,problem,0.1833,0.0197,0.0036,0.9407,0.272,0.1885
2,14,8,high,0.2148,0.0154,0.0033,0.9407,0.272,0.1885
2,253,9,flight,0.2924,0.0269,0.0079,0.9407,0.4472,0.1873
2,253,9,aircraft,0.3727,0.1714,0.0639,0.9407,0.4472,0.1873
2,253,9,speed,0.1959,0.036,0.0071,0.9407,0.4472,0.1873
2,141,10,aeroelast,0.5442,0.0691,0.0376,0.9407,0.4295,0.1731
2,141,10,flight,0.2924,0.0371,0.0109,0.9407,0.4295,0.1731
2,141,10,speed,0.1959,0.0498,0.0097,0.9407,0.4295,0.1731
2,141,10,high,0.2148,0.0546,0.0117,0.9407,0.4295,0.1731
3,485,1,slab,0.6579,0.3684,0.2424,1.1781,0.7078,0.5863
3,485,1,conduct,0.3117,0.0873,0.0272,1.1781,0.7078,0.5863
3,485,1,heat,0.2172,0.1217,0.0264,1.1781,0.7078,0.5863
3,485,1,composit,0.587,0.3287,0.1929,1.1781,0.7078,0.5863
3,5,2,slab,0.6579,0.2489,0.1638,1.1781,0.5642,0.4804
3,5,2,conduct,0.3117,0.1179,0.0368,1.1781,0.5642,0.4804
3,5,2,heat,0.2172,0.2466,0.0536,1.1781,0.5642,0.4804
3,5,2,composit,0.587,0.111,0.0652,1.1781,0.5642,0.4804
3,90,3,slab,0.6579,0.2303,0.1515,1.1781,0.561,0.4117
3,90,3,composit,0.587,0.2054,0.1206,1.1781,0.561,0.4117
3,91,4,slab,0.6579,0.2047,0.1347,1.1781,0.4359,0.3809
3,91,4,heat,0.2172,0.0338,0.0073,1.1781,0.4359,0.3809
3,91,4,composit,0.587,0.0913,0.0536,1.1781,0.4359,0.3809
3,144,5,slab,0.6579,0.1588,0.1045,1.1781,0.6082,0.3707
3,144,5,heat,0.2172,0.0874,0.019,1.1781,0.6082,0.3707
3,144,5,problem,0.2095,0.0169,0.0035,1.1781,0.6082,0.3707
3,144,5,composit,0.587,0.2361,0.1386,1.1781,0.6082,0.3707
3,582,6,slab,0.6579,0.3759,0.2473,1.1781,0.7137,0.3102
3,582,6,heat,0.2172,0.0621,0.0135,1.1781,0.7137,0.3102
3,399,7,slab,0.6579,0.1486,0.0977,1.1781,0.6569,0.2965
3,399,7,conduct,0.3117,0.0704,0.0219,1.1781,0.6569,0.2965
3,399,7,heat,0.2172,0.1472,0.032,1.1781,0.6569,0.2965
3,399,7,composit,0.587,0.1325,0.0778,1.1781,0.6569,0.2965
3,181,8,conduct,0.3117,0.1407,0.0439,1.1781,0.6162,0.2243
3,181,8,heat,0.2172,0.0981,0.0213,1.1781,0.6162,0.2243
3,181,8,problem,0.2095,0.0946,0.0198,1.1781,0.6162,0.2243
3,181,8,composit,0.587,0.1325,0.0778,1.1781,0.6162,0.2243
3,6,9,slab,0.6579,0.1645,0.1082,1.1781,0.5397,0.2066
3,6,9,heat,0.2172,0.0815,0.0177,1.1781,0.5397,0.2066
3,6,9,problem,0.2095,0.0262,0.0055,1.1781,0.5397,0.2066
3,579,10,slab,0.6579,0.0434,0.0286,1.1781,0.3859,0.1595
3,579,10,heat,0.2172,0.0574,0.0125,1.1781,0.3859,0.1595
3,579,10,problem,0.2095,0.0415,0.0087,1.1781,0.3859,0.1595
3,579,10,composit,0.587,0.0388,0.0228,1.1781,0.3859,0.1595
4,166,1,mixtur,0.2307,0.0822,0.019,0.8123,0.4132,0.2758
4,166,1,react,0.3029,0.054,0.0164,0.8123,0.4132,0.2758
4,166,1,chemic,0.3979,0.0709,0.0282,0.8123,0.4132,0.2758
4,166,1,equilibrium,0.1576,0.0843,0.0133,0.8123,0.4132,0.2758
4,166,1,flow,0.0362,0.0193,0.0007,0.8123,0.4132,0.2758
4,166,1,gas,0.1299,0.1158,0.015,0.8123,0.4132,0.2758
4,488,2,mixtur,0.2307,0.0865,0.02,0.8123,0.4601,0.2549
4,488,2,react,0.3029,0.1136,0.0344,0.8123,0.4601,0.2549
4,488,2,chemic,0.3979,0.0746,0.0297,0.8123,0.4601,0.2549
4,488,2,equilibrium,0.1576,0.0296,0.0047,0.8123,0.4601,0.2549
4,488,2,flow,0.0362,0.0068,0.0002,0.8123,0.4601,0.2549
4,488,2,gas,0.1299,0.0487,0.0063,0.8123,0.4601,0.2549
4,410,3,chemic,0.3979,0.1264,0.0503,0.8123,0.3651,0.2256
4,410,3,equilibrium,0.1576,0.1001,0.0158,0.8123,0.3651,0.2256
4,410,3,flow,0.0362,0.023,0.0008,0.8123,0.3651,0.2256
4,1061,4,solut,0.0686,0.0218,0.0015,0.8123,0.3415,0.2172
4,1061,4,mixtur,0.2307,0.0489,0.0113,0.8123,0.3415,0.2172
4,1061,4,base,0.1003,0.0106,0.0011,0.8123,0.3415,0.2172
4,1061,4,react,0.3029,0.0321,0.0097,0.8123,0.3415,0.2172
4,1061,4,chemic,0.3979,0.0843,0.0335,0.8123,0.3415,0.2172
4,1061,4,assumpt,0.1423,0.0151,0.0021,0.8123,0.3415,0.2172
4,1061,4,flow,0.0362,0.0038,0.0001,0.8123,0.3415,0.2172
4,1061,4,develop,0.0927,0.0098,0.0009,0.8123,0.3415,0.2172
4,1275,5,instantan,0.2869,0.1781,0.0511,0.8123,0.5685,0.2099
4,1275,5,simplifi,0.1759,0.0546,0.0096,0.8123,0.5685,0.2099
4,1275,5,criterion,0.2333,0.1448,0.0338,0.8123,0.5685,0.2099
4,1275,5,flow,0.0362,0.0674,0.0024,0.8123,0.5685,0.2099
4,167,6,solut,0.0686,0.0334,0.0023,0.8123,0.3775,0.191
4,167,6,mixtur,0.2307,0.0561,0.0129,0.8123,0.3775,0.191
4,167,6,chemic,0.3979,0.0484,0.0193,0.8123,0.3775,0.191
4,167,6,equilibrium,0.1576,0.0383,0.006,0.8123,0.3775,0.191
4,167,6,flow,0.0362,0.044,0.0016,0.8123,0.3775,0.191
4,167,6,gas,0.1299,0.1264,0.0164,0.8123,0.3775,0.191
4,185,7,mixtur,0.2307,0.1099,0.0254,0.8123,0.3834,0.1798
4,185,7,base,0.1003,0.0096,0.001,0.8123,0.3834,0.1798
4,185,7,chemic,0.3979,0.0379,0.0151,0.8123,0.3834,0.1798
4,185,7,flow,0.0362,0.0034,0.0001,0.8123,0.3834,0.1798
4,185,7,gas,0.1299,0.1114,0.0145,0.8123,0.3834,0.1798
4,1189,8,solut,0.0686,0.0209,0.0014,0.8123,0.5177,0.1786
4,1189,8,react,0.3029,0.0924,0.028,0.8123,0.5177,0.1786
4,1189,8,chemic,0.3979,0.0607,0.0241,0.8123,0.5177,0.1786
4,1189,8,equilibrium,0.1576,0.0962,0.0152,0.8123,0.5177,0.1786
4,1189,8,flow,0.0362,0.0331,0.0012,0.8123,0.5177,0.1786
4,1189,8,gas,0.1299,0.0396,0.0052,0.8123,0.5177,0.1786
4,1374,9,solut,0.0686,0.0158,0.0011,0.8123,0.4062,0.1766
4,1374,9,chemic,0.3979,0.0918,0.0365,0.8123,0.4062,0.1766
4,1374,9,equilibrium,0.1576,0.0728,0.0115,0.8123,0.4062,0.1766
4,1374,9,assumpt,0.1423,0.0328,0.0047,0.8123,0.4062,0.1766
4,1374,9,flow,0.0362,0.0167,0.0006,0.8123,0.4062,0.1766
4,1374,9,gas,0.1299,0.03,0.0039,0.8123,0.4062,0.1766
4,575,10,solut,0.0686,0.0087,0.0006,0.8123,0.3401,0.1629
4,575,10,chemic,0.3979,0.0504,0.0201,0.8123,0.3401,0.1629
4,575,10,equilibrium,0.1576,0.0999,0.0158,0.8123,0.3401,0.1629
4,575,10,assumpt,0.1423,0.018,0.0026,0.8123,0.3401,0.1629
4,575,10,flow,0.0362,0.0183,0.0007,0.8123,0.3401,0.1629
4,575,10,gas,0.1299,0.0329,0.0043,0.8123,0.3401,0.1629
4,575,10,develop,0.0927,0.0117,0.0011,0.8123,0.3401,0.1629
5,103,1,system,0.4019,0.0402,0.0162,1.0223,0.5942,0.2647
5,103,1,chemic,0.5115,0.1535,0.0785,1.0223,0.5942,0.2647
5,103,1,kinet,0.5751,0.115,0.0661,1.0223,0.5942,0.2647
5,1032,2,system,0.4019,0.1758,0.0707,1.0223,0.5582,0.2091
5,1032,2,kinet,0.5751,0.0629,0.0362,1.0223,0.5582,0.2091
5,1032,2,applic,0.265,0.029,0.0077,1.0223,0.5582,0.2091
5,1032,2,problem,0.2095,0.0229,0.0048,1.0223,0.5582,0.2091
5,410,3,chemic,0.5115,0.1264,0.0646,1.0223,0.3651,0.2023
5,410,3,problem,0.2095,0.0518,0.0108,1.0223,0.3651,0.2023
5,943,4,system,0.4019,0.0313,0.0126,1.0223,0.4212,0.1834
5,943,4,chemic,0.5115,0.0796,0.0407,1.0223,0.4212,0.1834
5,943,4,kinet,0.5751,0.0447,0.0257,1.0223,0.4212,0.1834
5,552,5,chemic,0.5115,0.0578,0.0295,1.0223,0.3394,0.168
5,552,5,kinet,0.5751,0.0325,0.0187,1.0223,0.3394,0.168
5,552,5,problem,0.2095,0.0237,0.005,1.0223,0.3394,0.168
5,552,5,hyperson,0.3012,0.017,0.0051,1.0223,0.3394,0.168
5,401,6,chemic,0.5115,0.036,0.0184,1.0223,0.3373,0.1603
5,401,6,kinet,0.5751,0.0405,0.0233,1.0223,0.3373,0.1603
5,401,6,applic,0.265,0.0093,0.0025,1.0223,0.3373,0.1603
5,401,6,problem,0.2095,0.0074,0.0015,1.0223,0.3373,0.1603
5,401,6,hyperson,0.3012,0.0318,0.0096,1.0223,0.3373,0.1603
5,367,7,system,0.4019,0.2269,0.0912,1.0223,0.6115,0.1586
5,367,7,applic,0.265,0.0299,0.0079,1.0223,0.6115,0.1586
5,1374,8,chemic,0.5115,0.0918,0.047,1.0223,0.4062,0.1479
5,1374,8,applic,0.265,0.0238,0.0063,1.0223,0.4062,0.1479
5,1374,8,hyperson,0.3012,0.027,0.0081,1.0223,0.4062,0.1479
5,968,9,system,0.4019,0.1366,0.0549,1.0223,0.6104,0.1318
5,968,9,chemic,0.5115,0.0348,0.0178,1.0223,0.6104,0.1318
5,968,9,applic,0.265,0.036,0.0095,1.0223,0.6104,0.1318
5,368,10,system,0.4019,0.1111,0.0446,1.0223,0.5019,0.1311
5,368,10,applic,0.265,0.0244,0.0065,1.0223,0.5019,0.1311
5,368,10,problem,0.2095,0.0772,0.0162,1.0223,0.5019,0.1311
6,491,1,theoret,0.2549,0.0275,0.007,1.1972,0.5118,0.3371
6,491,1,couett,0.7059,0.2281,0.161,1.1972,0.5118,0.3371
6,491,1,flow,0.093,0.0501,0.0047,1.1972,0.5118,0.3371
6,491,1,turbul,0.3239,0.1047,0.0339,1.1972,0.5118,0.3371
6,386,2,couett,0.7059,0.2797,0.1975,1.1972,0.5167,0.3266
6,386,2,flow,0.093,0.0491,0.0046,1.1972,0.5167,0.3266
6,385,3,couett,0.7059,0.353,0.2492,1.1972,0.6684,0.3168
6,385,3,flow,0.093,0.0465,0.0043,1.1972,0.6684,0.3168
6,257,4,couett,0.7059,0.0426,0.0301,1.1972,0.3592,0.1725
6,257,4,experiment,0.2026,0.0122,0.0025,1.1972,0.3592,0.1725
6,257,4,flow,0.093,0.0393,0.0037,1.1972,0.3592,0.1725
6,257,4,turbul,0.3239,0.1173,0.038,1.1972,0.3592,0.1725
6,1273,5,couett,0.7059,0.1163,0.0821,1.1972,0.4185,0.1709
6,1273,5,flow,0.093,0.0383,0.0036,1.1972,0.4185,0.1709
6,1282,6,couett,0.7059,0.0988,0.0698,1.1972,0.3822,0.1578
6,1282,6,flow,0.093,0.026,0.0024,1.1972,0.3822,0.1578
6,883,7,behaviour,0.5641,0.2008,0.1132,1.1972,0.6004,0.1575
6,151,8,theoret,0.2549,0.0121,0.0031,1.1972,0.3592,0.135
6,151,8,turbul,0.3239,0.1697,0.055,1.1972,0.3592,0.135
6,99,9,theoret,0.2549,0.0111,0.0028,1.1972,0.359,0.1317
6,99,9,experiment,0.2026,0.0176,0.0036,1.1972,0.359,0.1317
6,99,9,turbul,0.3239,0.1549,0.0502,1.1972,0.359,0.1317
6,406,10,behaviour,0.5641,0.0627,0.0354,1.1972,0.3145,0.1261
6,406,10,flow,0.093,0.0052,0.0005,1.1972,0.3145,0.1261
6,406,10,turbul,0.3239,0.036,0.0117,1.1972,0.3145,0.1261
7,492,1,attack,0.2787,0.2951,0.0822,0.925,0.6177,0.8412
7,492,1,forebodi,0.5739,0.3038,0.1743,0.925,0.6177,0.8412
7,492,1,lower,0.1619,0.0857,0.0139,0.925,0.6177,0.8412
7,492,1,surfac,0.0803,0.085,0.0068,0.925,0.6177,0.8412
7,492,1,pressur,0.1034,0.1095,0.0113,0.925,0.6177,0.8412
7,492,1,distribut,0.0753,0.0399,0.003,0.925,0.6177,0.8412
7,492,1,zero,0.085,0.045,0.0038,0.925,0.6177,0.8412
7,492,1,ogiv,0.5117,0.2709,0.1386,0.925,0.6177,0.8412
7,492,1,angl,0.2097,0.2221,0.0466,0.925,0.6177,0.8412
7,434,2,attack,0.2787,0.0175,0.0049,0.925,0.3811,0.3991
7,434,2,forebodi,0.5739,0.1806,0.1036,0.925,0.3811,0.3991
7,434,2,zero,0.085,0.0214,0.0018,0.925,0.3811,0.3991
7,434,2,ogiv,0.5117,0.0322,0.0165,0.925,0.3811,0.3991
7,434,2,angl,0.2097,0.066,0.0138,0.925,0.3811,0.3991
7,973,3,attack,0.2787,0.038,0.0106,0.925,0.4441,0.3271
7,973,3,forebodi,0.5739,0.0783,0.0449,0.925,0.4441,0.3271
7,973,3,pressur,0.1034,0.0141,0.0015,0.925,0.4441,0.3271
7,973,3,ogiv,0.5117,0.1396,0.0714,0.925,0.4441,0.3271
7,973,3,angl,0.2097,0.0286,0.006,0.925,0.4441,0.3271
7,233,4,forebodi,0.5739,0.254,0.1458,0.925,0.5075,0.3105
7,1040,5,possibl,0.1226,0.0072,0.0009,0.925,0.2974,0.2793
7,1040,5,forebodi,0.5739,0.1185,0.068,0.925,0.2974,0.2793
7,1040,5,pressur,0.1034,0.0275,0.0028,0.925,0.2974,0.2793
7,1040,5,distribut,0.0753,0.0044,0.0003,0.925,0.2974,0.2793
7,1040,5,zero,0.085,0.01,0.0009,0.925,0.2974,0.2793
7,1040,5,angl,0.2097,0.0186,0.0039,0.925,0.2974,0.2793
7,57,6,attack,0.2787,0.0228,0.0064,0.925,0.381,0.2475
7,57,6,relat,0.1001,0.0164,0.0016,0.925,0.381,0.2475
7,57,6,pressur,0.1034,0.0423,0.0044,0.925,0.381,0.2475
7,57,6,distribut,0.0753,0.0616,0.0046,0.925,0.381,0.2475
7,57,6,zero,0.085,0.0278,0.0024,0.925,0.381,0.2475
7,57,6,ogiv,0.5117,0.1256,0.0643,0.925,0.381,0.2475
7,57,6,angl,0.2097,0.0172,0.0036,0.925,0.381,0.2475
7,124,7,attack,0.2787,0.0199,0.0055,0.925,0.2895,0.2145
7,124,7,equival,0.191,0.0273,0.0052,0.925,0.2895,0.2145
7,124,7,avail,0.1583,0.0226,0.0036,0.925,0.2895,0.2145
7,124,7,pressur,0.1034,0.0148,0.0015,0.925,0.2895,0.2145
7,124,7,zero,0.085,0.0121,0.001,0.925,0.2895,0.2145
7,124,7,ogiv,0.5117,0.0731,0.0374,0.925,0.2895,0.2145
7,124,7,angl,0.2097,0.015,0.0031,0.925,0.2895,0.2145
7,56,8,attack,0.2787,0.0398,0.0111,0.925,0.3386,0.2091
7,56,8,pressur,0.1034,0.0443,0.0046,0.925,0.3386,0.2091
7,56,8,distribut,0.0753,0.0538,0.004,0.925,0.3386,0.2091
7,56,8,zero,0.085,0.0243,0.0021,0.925,0.3386,0.2091
7,56,8,ogiv,0.5117,0.0731,0.0374,0.925,0.3386,0.2091
7,56,8,angl,0.2097,0.03,0.0063,0.925,0.3386,0.2091
7,354,9,attack,0.2787,0.1303,0.0363,0.925,0.3698,0.1925
7,354,9,pressur,0.1034,0.0242,0.0025,0.925,0.3698,0.1925
7,354,9,distribut,0.0753,0.0176,0.0013,0.925,0.3698,0.1925
7,354,9,angl,0.2097,0.1226,0.0257,0.925,0.3698,0.1925
7,122,10,attack,0.2787,0.0754,0.021,0.925,0.3288,0.1881
7,122,10,relat,0.1001,0.0135,0.0014,0.925,0.3288,0.1881
7,122,10,lower,0.1619,0.0219,0.0035,0.925,0.3288,0.1881
7,122,10,surfac,0.0803,0.0217,0.0017,0.925,0.3288,0.1881
7,122,10,equival,0.191,0.0517,0.0099,0.925,0.3288,0.1881
7,122,10,avail,0.1583,0.0214,0.0034,0.925,0.3288,0.1881
7,122,10,pressur,0.1034,0.014,0.0014,0.925,0.3288,0.1881
7,122,10,zero,0.085,0.0345,0.0029,0.925,0.3288,0.1881
7,122,10,angl,0.2097,0.0568,0.0119,0.925,0.3288,0.1881
8,1083,1,present,0.0846,0.0226,0.0019,0.9614,0.384,0.2628
8,1083,1,dash,0.8236,0.1098,0.0904,0.9614,0.384,0.2628
8,1083,1,method,0.0937,0.05,0.0047,0.9614,0.384,0.2628
8,569,2,bodi,0.1303,0.0279,0.0036,0.9614,0.2611,0.2306
8,569,2,approxim,0.1091,0.0078,0.0009,0.9614,0.2611,0.2306
8,569,2,dash,0.8236,0.0588,0.0485,0.9614,0.2611,0.2306
8,569,2,pressur,0.0776,0.0388,0.003,0.9614,0.2611,0.2306
8,569,2,predict,0.1651,0.0118,0.0019,0.9614,0.2611,0.2306
8,492,3,attack,0.209,0.2951,0.0617,0.9614,0.6177,0.2269
8,492,3,present,0.0846,0.0299,0.0025,0.9614,0.6177,0.2269
8,492,3,bodi,0.1303,0.046,0.006,0.9614,0.6177,0.2269
8,492,3,approxim,0.1091,0.077,0.0084,0.9614,0.6177,0.2269
8,492,3,pressur,0.0776,0.1095,0.0085,0.9614,0.6177,0.2269
8,492,3,method,0.0937,0.0331,0.0031,0.9614,0.6177,0.2269
8,492,3,predict,0.1651,0.0583,0.0096,0.9614,0.6177,0.2269
8,492,3,angl,0.1573,0.2221,0.0349,0.9614,0.6177,0.2269
8,122,4,attack,0.209,0.0754,0.0158,0.9614,0.3288,0.181
8,122,4,present,0.0846,0.0076,0.0006,0.9614,0.3288,0.181
8,122,4,bodi,0.1303,0.0941,0.0123,0.9614,0.3288,0.181
8,122,4,approxim,0.1091,0.0295,0.0032,0.9614,0.3288,0.181
8,122,4,exact,0.2076,0.0187,0.0039,0.9614,0.3288,0.181
8,122,4,avail,0.2375,0.0214,0.0051,0.9614,0.3288,0.181
8,122,4,pressur,0.0776,0.014,0.0011,0.9614,0.3288,0.181
8,122,4,method,0.0937,0.0676,0.0063,0.9614,0.3288,0.181
8,122,4,angl,0.1573,0.0568,0.0089,0.9614,0.3288,0.181
8,443,5,attack,0.209,0.0562,0.0117,0.9614,0.3374,0.1674
8,443,5,present,0.0846,0.0076,0.0006,0.9614,0.3374,0.1674
8,443,5,approxim,0.1091,0.0098,0.0011,0.9614,0.3374,0.1674
8,443,5,dash,0.8236,0.0369,0.0304,0.9614,0.3374,0.1674
8,443,5,pressur,0.0776,0.0208,0.0016,0.9614,0.3374,0.1674
8,443,5,angl,0.1573,0.0563,0.0089,0.9614,0.3374,0.1674
8,1082,6,approxim,0.1091,0.0085,0.0009,0.9614,0.3708,0.1587
8,1082,6,dash,0.8236,0.0642,0.0529,0.9614,0.3708,0.1587
8,1082,6,pressur,0.0776,0.0181,0.0014,0.9614,0.3708,0.1587
8,1082,6,method,0.0937,0.0146,0.0014,0.9614,0.3708,0.1587
8,1231,7,attack,0.209,0.073,0.0153,0.9614,0.325,0.1558
8,1231,7,bodi,0.1303,0.0304,0.004,0.9614,0.325,0.1558
8,1231,7,approxim,0.1091,0.0381,0.0042,0.9614,0.325,0.1558
8,1231,7,pressur,0.0776,0.0452,0.0035,0.9614,0.325,0.1558
8,1231,7,method,0.0937,0.0109,0.001,0.9614,0.325,0.1558
8,1231,7,predict,0.1651,0.0385,0.0064,0.9614,0.325,0.1558
8,1231,7,angl,0.1573,0.0916,0.0144,0.9614,0.325,0.1558
8,608,8,approxim,0.1091,0.0327,0.0036,0.9614,0.376,0.1506
8,608,8,dash,0.8236,0.0618,0.0509,0.9614,0.376,0.1506
8,354,9,attack,0.209,0.1303,0.0272,0.9614,0.3698,0.1476
8,354,9,present,0.0846,0.0264,0.0022,0.9614,0.3698,0.1476
8,354,9,approxim,0.1091,0.017,0.0019,0.9614,0.3698,0.1476
8,354,9,pressur,0.0776,0.0242,0.0019,0.9614,0.3698,0.1476
8,354,9,angl,0.1573,0.1226,0.0193,0.9614,0.3698,0.1476
8,1307,10,attack,0.209,0.076,0.0159,0.9614,0.2974,0.142
8,1307,10,approxim,0.1091,0.0159,0.0017,0.9614,0.2974,0.142
8,1307,10,pressur,0.0776,0.0338,0.0026,0.9614,0.2974,0.142
8,1307,10,predict,0.1651,0.036,0.0059,0.9614,0.2974,0.142
8,1307,10,angl,0.1573,0.0915,0.0144,0.9614,0.2974,0.142
9,22,1,slip,0.6301,0.2801,0.1765,0.9552,0.4767,0.4214
9,22,1,flow,0.093,0.0207,0.0019,0.9552,0.4767,0.4214
9,22,1,heat,0.2172,0.0241,0.0052,0.9552,0.4767,0.4214
9,22,1,transfer,0.2724,0.0303,0.0082,0.9552,0.4767,0.4214
9,21,2,slip,0.6301,0.2595,0.1635,0.9552,0.5442,0.4141
9,21,2,flow,0.093,0.0192,0.0018,0.9552,0.5442,0.4141
9,21,2,heat,0.2172,0.0894,0.0194,0.9552,0.5442,0.4141
9,21,2,transfer,0.2724,0.1122,0.0306,0.9552,0.5442,0.4141
9,550,3,slip,0.6301,0.1813,0.1142,0.9552,0.419,0.3805
9,550,3,flow,0.093,0.0446,0.0041,0.9552,0.419,0.3805
9,550,3,heat,0.2172,0.0625,0.0136,0.9552,0.419,0.3805
9,550,3,transfer,0.2724,0.0522,0.0142,0.9552,0.419,0.3805
9,550,3,studi,0.2525,0.0242,0.0061,0.9552,0.419,0.3805
9,306,4,slip,0.6301,0.1423,0.0897,0.9552,0.3241,0.3613
9,306,4,flow,0.093,0.042,0.0039,0.9552,0.3241,0.3613
