Term,DF,IDF_BM25,Max_TF,Max_BM25_Score
unsteadili,1,6.8395,1,8.1159
six000degreek,1,6.8395,1,5.7471
complimentari,1,6.8395,1,7.1564
noncommun,1,6.8395,1,5.232
nonorthogon,1,6.8395,1,5.232
krasilshchikova,1,6.8395,1,5.232
evvard,1,6.8395,1,5.232
helic,1,6.8395,1,5.232
f8u,1,6.8395,1,7.1564
fivetwo,1,6.8395,1,3.8241
hypass,1,6.8395,1,7.1564
sugar,1,6.8395,1,7.1564
shortest,1,6.8395,1,7.0636
eniac,1,6.8395,1,7.0636
one700f,1,6.8395,1,4.6913
holder,1,6.8395,1,4.6913
nonslend,1,6.8395,1,5.1495
semidiamet,1,6.8395,1,7.6955
pseudo,1,6.8395,1,5.3872
cast,1,6.8395,1,5.3872
depict,1,6.8395,1,5.3872
unresolv,1,6.8395,1,7.8811
inhomogen,1,6.8395,1,6.6878
haack,1,6.8395,1,4.2966
scar,1,6.8395,1,4.2966
ask,1,6.8395,1,5.3695
implement,1,6.8395,1,4.2966
kelley,1,6.8395,1,7.2516
isofoam,1,6.8395,1,4.977
balsa,1,6.8395,1,4.977
overhang,1,6.8395,1,5.405
inadmiss,1,6.8395,1,6.6878
semiballist,1,6.8395,1,4.977
unconstrain,1,6.8395,1,7.6595
nullifi,1,6.8395,1,6.6878
eter,1,6.8395,1,7.2516
unrealist,1,6.8395,1,7.8811
oversimplifi,1,6.8395,1,7.8811
glycerin,1,6.8395,1,6.3748
hydroballist,1,6.8395,1,6.3748
elong,1,6.8395,1,6.3748
reshotko,1,6.8395,1,5.7471
aerothermodynam,1,6.8395,1,5.7471
veociti,1,6.8395,1,5.727
4ft,1,6.8395,1,9.0608
subsidiari,1,6.8395,1,5.5331
coher,1,6.8395,1,5.5331
motionless,1,6.8395,1,7.9578
consumpt,1,6.8395,1,6.6067
sesir,1,6.8395,1,6.6067
shockless,1,6.8395,1,6.6067
acrodynam,1,6.8395,2,9.9951
mhd,1,6.8395,1,7.3166
dust,1,6.8395,1,6.0897
utilz,1,6.8395,1,6.0897
dewpoint,1,6.8395,1,6.0897
lockhe,1,6.8395,1,5.9135
abbrevi,1,6.8395,1,5.9135
ribbon,1,6.8395,1,6.0897
hypersoul,1,6.8395,1,4.9922
ponderomot,1,6.8395,1,7.0031
murphi,1,6.8395,3,10.5287
bounari,1,6.8395,1,5.3344
liouvill,1,6.8395,1,7.8433
sturm,1,6.8395,1,7.8433
steamlin,1,6.8395,1,7.8433
undersid,1,6.8395,1,7.8433
curtain,1,6.8395,2,11.3485
tical,1,6.8395,1,5.3695
subtend,1,6.8395,1,5.7674
cosin,1,6.8395,1,4.9922
avov,1,6.8395,1,4.9922
summat,1,6.8395,1,4.9922
pli,1,6.8395,1,7.6955
electro,1,6.8395,1,5.405
termperatur,1,6.8395,1,5.7674
intract,1,6.8395,1,7.6955
annul,1,6.8395,1,5.7674
kuo,1,6.8395,1,5.7674
foredrag,1,6.8395,1,4.7596
poincar,1,6.8395,1,5.7674
spirit,1,6.8395,1,5.7674
circuit,1,6.8395,1,7.7687
portious,1,6.8395,1,5.7674
plk,1,6.8395,1,5.7674
maximuin,1,6.8395,1,7.8811
dipol,1,6.8395,1,6.2054
chap,1,6.8395,1,5.405
photoelast,1,6.8395,1,7.0636
r82,1,6.8395,1,6.9142
p43,1,6.8395,1,7.9193
l40,1,6.8395,1,7.7319
ultracentrifug,1,6.8395,1,7.9193
protein,1,6.8395,1,7.9193
isotop,1,6.8395,1,7.9193
sediment,1,6.8395,1,7.9193
aeroballist,1,6.8395,1,8.1973
havelock,1,6.8395,3,13.2629
ardc,1,6.8395,1,6.9435
75degre,1,6.8395,1,6.9435
65degre,1,6.8395,1,6.9435
quest,1,6.8395,1,7.7687
hise,1,6.8395,1,7.5185
chernyi,1,6.8395,1,7.5185
apoge,1,6.8395,1,8.9614
enorm,1,6.8395,1,4.4853
graze,1,6.8395,1,8.9614
decomposit,1,6.8395,1,4.4853
platinum,1,6.8395,1,6.4249
spreiter,1,6.8395,1,7.3166
hosokawa,1,6.8395,1,7.3166
blend,1,6.8395,1,4.4487
prebuckl,1,6.8395,1,7.9968
fpre,1,6.8395,2,7.312
frontal,1,6.8395,1,7.1879
aob,1,6.8395,2,10.6462
peng,1,6.8395,2,12.3334
pindroh,1,6.8395,2,12.3334
hansen,1,6.8395,1,8.8164
liabl,1,6.8395,1,7.6237
closest,1,6.8395,1,7.6237
redefinit,1,6.8395,1,6.1819
serbin,1,6.8395,1,9.2663
johnson,1,6.8395,1,5.2998
geiger,1,6.8395,1,9.2663
buzz,1,6.8395,2,11.1931
profound,1,6.8395,1,9.0109
constanc,1,6.8395,1,4.9024
con,1,6.8395,1,4.9024
coefstant,1,6.8395,1,4.9024
ficient,1,6.8395,1,4.9024
rod,1,6.8395,2,10.1819
spoken,1,6.8395,1,4.9024
communic,1,6.8395,1,4.9024
dirichlet,1,6.8395,1,6.229
newli,1,6.8395,1,6.229
laguerr,1,6.8395,1,4.9024
superscript,1,6.8395,1,6.229
practition,1,6.8395,1,7.5883
skill,1,6.8395,1,7.5883
nice,1,6.8395,1,4.9024
old,1,6.8395,1,8.7691
puzzl,1,6.8395,1,4.9024
mesh,1,6.8395,2,12.241
compet,1,6.8395,1,4.9024
afresh,1,6.8395,1,4.9024
hemispheroid,1,6.8395,1,5.4959
orlfic,1,6.8395,1,5.4959
joul,1,6.8395,4,14.4846
gravalo,1,6.8395,1,9.2663
goe,1,6.8395,1,7.8058
edelfelt,1,6.8395,1,9.2663
gordon,1,6.8395,1,9.2663
stokess,1,6.8395,1,7.7319
elliott,1,6.8395,1,7.3827
worst,1,6.8395,1,4.4487
packard,1,6.8395,1,4.4487
potentiomet,1,6.8395,1,4.9171
glassi,1,6.8395,2,10.1819
today,1,6.8395,1,6.7991
repli,1,6.8395,1,6.7709
detra,1,6.8395,1,6.7709
hidalgo,1,6.8395,1,6.7709
violat,1,6.8395,1,6.1586
feldman,1,6.8395,1,7.2516
laszlo,1,6.8395,1,8.4082
almen,1,6.8395,1,8.4082
ar,1,6.8395,1,7.2516
mountain,1,6.8395,4,12.9367
radon,1,6.8395,1,6.1355
versatil,1,6.8395,1,7.3166
cope,1,6.8395,1,6.2528
1x10,1,6.8395,1,5.3519
immov,1,6.8395,1,5.8291
reiss,1,6.8395,1,5.8291
keller,1,6.8395,1,5.8291
4x10,1,6.8395,1,5.3519
dropoff,1,6.8395,1,6.4249
grimming,1,6.8395,1,6.6878
kzero,1,6.8395,1,6.4503
ktwo,1,6.8395,1,6.4503
noninsul,1,6.8395,1,5.405
dashin,1,6.8395,1,4.1336
two000degreek,1,6.8395,1,4.1336
four000degreek,1,6.8395,1,4.1336
benser,1,6.8395,1,3.9728
inst,1,6.8395,1,8.4956
equilibr,1,6.8395,1,6.1125
minnesota,1,6.8395,1,8.8164
pursu,1,6.8395,1,8.8164
conpress,1,6.8395,1,6.743
reflex,1,6.8395,1,4.4487
hammerhead,1,6.8395,2,7.312
micromanomet,1,6.8395,1,4.9171
administr,1,6.8395,1,7.0332
manomet,1,6.8395,1,4.9171
distant,1,6.8395,1,7.5533
reimping,1,6.8395,1,7.5533
ussr,1,6.8395,1,9.4266
nonun,1,6.8395,1,8.6302
enc,1,6.8395,1,5.441
streak,1,6.8395,3,10.6661
drum,1,6.8395,2,8.6011
camera,1,6.8395,2,8.6011
dorod,1,6.8395,1,6.743
extra,1,6.8395,1,5.3171
nitzyn,1,6.8395,1,6.743
infit,1,6.8395,1,8.7691
gothic,1,6.8395,1,8.1159
8n,1,6.8395,2,8.3166
electroform,1,6.8395,1,7.0942
co2,1,6.8395,1,5.2153
o2,1,6.8395,1,5.2153
h2,1,6.8395,2,8.3166
h2o,1,6.8395,1,5.2153
nicolson,1,6.8395,1,5.2153
crank,1,6.8395,1,5.2153
caret,1,6.8395,2,11.1549
undersurfac,1,6.8395,2,11.1549
plast,1,6.8395,1,6.9142
slug,1,6.8395,1,5.2998
apropri,1,6.8395,1,9.3191
scan,1,6.8395,1,7.8433
wavelengthzero,1,6.8395,1,7.3495
bulg,1,6.8395,1,5.871
maeder,1,6.8395,1,7.9193
acet,1,6.8395,1,5.871
cellulos,1,6.8395,1,5.871
papreg,1,6.8395,1,5.871
groov,1,6.8395,1,5.871
foundat,1,6.8395,1,8.3226
sequel,1,6.8395,1,6.9142
repair,1,6.8395,1,6.9142
basin,1,6.8395,1,6.9142
perplex,1,6.8395,1,6.2528
keuneon,1,6.8395,1,8.2386
octahedr,1,6.8395,1,7.3827
secant,1,6.8395,2,11.9283
chester,1,6.8395,2,11.0792
u1,1,6.8395,2,9.079
u2u1,1,6.8395,1,5.8291
whisker,1,6.8395,1,7.2516
erfc,1,6.8395,6,14.4496
midchord,1,6.8395,1,6.2528
jmin,1,6.8395,2,9.079
recurr,1,6.8395,1,5.8291
centaur,1,6.8395,1,6.0224
dashn,1,6.8395,1,5.8291
windtunnel,1,6.8395,1,7.1564
dampomet,1,6.8395,1,7.1564
cathod,1,6.8395,1,7.1564
jmjn,1,6.8395,1,5.8291
crosscorrel,1,6.8395,3,13.335
handbook,1,6.8395,1,7.5883
firmer,1,6.8395,1,7.8433
dand,1,6.8395,1,7.8058
hysteret,1,6.8395,1,6.6606
castolit,1,6.8395,1,7.9193
lyon,1,6.8395,1,6.6606
randon,1,6.8395,1,6.6606
satelit,1,6.8395,1,8.1159
epoxi,1,6.8395,1,7.9193
hysol,1,6.8395,1,7.9193
beskin,1,6.8395,1,9.0608
dissert,1,6.8395,1,5.609
wissler,1,6.8395,1,5.609
transamermathsocthirti,1,6.8395,1,5.609
langer,1,6.8395,1,5.609
nonhomogen,1,6.8395,1,5.609
toriconic1a,1,6.8395,1,6.0671
toricon,1,6.8395,2,9.3651
unflang,1,6.8395,1,7.7319
ink,1,6.8395,1,6.3254
prism,1,6.8395,1,7.7319
interim,1,6.8395,1,5.5144
vapour,1,6.8395,5,13.7343
fog,1,6.8395,2,9.181
undergon,1,6.8395,1,5.5144
psi,1,6.8395,1,5.5144
edit,1,6.8395,1,5.5144
caution,1,6.8395,1,5.5144
latent,1,6.8395,1,5.9135
threshold,1,6.8395,1,8.1159
embryon,1,6.8395,1,8.1159
kendrick,1,6.8395,2,11.6312
keuleganon,1,6.8395,1,7.5533
subaudio,1,6.8395,1,7.1564
audio,1,6.8395,1,7.1564
sextic,1,6.8395,4,14.3573
30th,1,6.8395,1,6.8275
dismiss,1,6.8395,1,4.7184
annual,1,6.8395,1,6.8275
jan,1,6.8395,1,6.8275
eleg,1,6.8395,1,4.7184
unhappi,1,6.8395,1,7.3827
ber,1,6.8395,1,7.3827
lucid,1,6.8395,1,4.7184
brooklyn,1,6.8395,1,7.9968
polytechn,1,6.8395,1,7.9968
typographi,1,6.8395,1,7.3827
eq,1,6.8395,1,7.3827
unabl,1,6.8395,1,6.8275
rocketon,1,6.8395,1,5.707
haveg,1,6.8395,1,5.707
typograph,1,6.8395,1,7.3827
veiociti,1,6.8395,1,4.4246
unman,1,6.8395,1,5.707
lamin,1,6.8395,1,8.3226
melamin,1,6.8395,1,8.3226
polystyren,1,6.8395,1,8.3226
elevenzero,1,6.8395,2,11.8419
upward,1,6.8395,3,11.655
redirect,1,6.8395,2,10.1819
inappropri,1,6.8395,1,4.4246
entitl,1,6.8395,1,4.4246
buri,1,6.8395,4,14.7793
fivetwenti,1,6.8395,1,5.232
tractor,1,6.8395,1,5.232
ia,1,6.8395,1,6.8275
btulb,1,6.8395,1,7.4162
nonabl,1,6.8395,1,7.4162
aerothermoelast,1,6.8395,9,15.9952
locktwo,1,6.8395,1,7.5533
f40umer,1,6.8395,1,7.5533
quartic,1,6.8395,1,7.5533
choleski,1,6.8395,1,8.0758
fzero,1,6.8395,3,13.335
5d,1,6.8395,1,7.8433
cuss,1,6.8395,1,7.8433
sutton,1,6.8395,1,8.3652
laminari,1,6.8395,1,7.9968
admixtur,1,6.8395,1,7.9968
three8x10,1,6.8395,1,5.6871
reliev,1,6.8395,1,7.9968
unblunt,1,6.8395,1,7.0942
access,1,6.8395,1,7.8058
inconel,1,6.8395,1,7.4162
look,1,6.8395,1,5.7878
creas,1,6.8395,1,4.8877
facet,1,6.8395,1,5.7878
incom,1,6.8395,1,7.5883
backward,1,6.8395,1,7.5883
announc,1,6.8395,1,6.8275
nautic,1,6.8395,2,12.3801
boost,1,6.8395,1,8.8642
msvo,1,6.8395,1,6.8275
etal,1,6.8395,1,6.8275
three800degre,1,6.8395,1,8.1159
two400degre,1,6.8395,1,8.1159
polym,1,6.8395,1,8.1159
sigular,1,6.8395,1,5.7878
seventeenf,1,6.8395,1,6.7153
e56b03b,1,6.8395,1,8.3226
unintent,1,6.8395,1,7.6237
centroid,1,6.8395,1,5.7471
neater,1,6.8395,1,9.8233
curl,1,6.8395,1,8.1564
child,1,6.8395,1,5.4229
korst,1,6.8395,1,5.4229
haag,1,6.8395,1,9.7066
twelvezero,1,6.8395,1,7.3166
kingdom,1,6.8395,1,7.3166
einbind,1,6.8395,1,7.1879
sedov,1,6.8395,2,10.6462
heaslet,1,6.8395,1,7.8433
lomax,1,6.8395,1,7.8433
semicircular,1,6.8395,1,7.8433
hadamard,1,6.8395,1,7.4841
took,1,6.8395,1,5.5519
lunar,1,6.8395,1,7.4162
molten,1,6.8395,1,5.6478
weigh,1,6.8395,1,5.6478
pyrex,1,6.8395,1,3.6288
tao,1,6.8395,1,5.8921
ostrach,1,6.8395,1,5.8921
zhukhovitskii,1,6.8395,1,5.8921
gershuni,1,6.8395,1,5.8921
aerodynamieist,1,6.8395,1,7.45
edpm,1,6.8395,1,5.727
fredholm,1,6.8395,1,5.727
neumann,1,6.8395,2,8.9546
burger,1,6.8395,2,12.7669
degrad,1,6.8395,1,4.4246
coast,1,6.8395,1,7.6237
cant,1,6.8395,2,11.1169
supersed,1,6.8395,1,4.4246
coars,1,6.8395,1,5.6674
variant,1,6.8395,1,7.7319
thenewtoniantheori,1,6.8395,1,5.9784
theequilibriumparamet,1,6.8395,1,5.9784
processinclud,1,6.8395,1,5.9784
sevenfor,1,6.8395,1,5.9784
lighthillon,1,6.8395,1,5.9784
dissociatingga,1,6.8395,1,5.9784
anid,1,6.8395,1,5.9784
spurious,1,6.8395,1,3.9923
warn,1,6.8395,1,6.5276
hpyerson,1,6.8395,1,6.743
interanl,1,6.8395,1,6.743
thn,1,6.8395,1,6.743
multicellular,1,6.8395,1,9.8233
erickson,1,6.8395,1,5.3872
mol,1,6.8395,1,7.2516
fifteen000degre,1,6.8395,1,7.2516
500degre,1,6.8395,1,7.2516
partit,1,6.8395,1,7.2516
orgin,1,6.8395,1,5.441
magnetoacoust,1,6.8395,2,10.6116
echo,1,6.8395,1,5.871
electrostat,1,6.8395,1,5.871
unidirect,1,6.8395,2,9.1297
beta,1,6.8395,2,9.1297
persh,1,6.8395,1,7.9578
ninefold,1,6.8395,1,5.2998
advent,1,6.8395,1,7.2516
slide,1,6.8395,1,5.6674
till,1,6.8395,1,4.4246
declassifi,1,6.8395,1,4.4246
withdraw,1,6.8395,1,8.7223
bluish,1,6.8395,1,4.0316
staff,1,6.8395,1,4.0316
denser,1,6.8395,1,4.0316
societi,1,6.8395,1,4.0316
royal,1,6.8395,1,4.0316
asimplifi,1,6.8395,1,8.8642
transfn,1,6.8395,1,5.609
alminar,1,6.8395,2,8.8098
ie,1,6.8395,1,5.609
number2,1,6.8395,1,6.7153
number1,1,6.8395,1,6.7153
enquiri,1,6.8395,1,9.8233
endors,1,6.8395,1,7.3166
compressorsdash,1,6.8395,2,10.7867
radian,1,6.8395,1,4.638
mehtod,1,6.8395,1,4.638
noninclin,1,6.8395,2,7.5659
paraf,1,6.8395,1,6.1586
sideforc,1,6.8395,1,6.0224
aerotwo,1,6.8395,1,6.0224
maskel,1,6.8395,1,6.0224
owen,1,6.8395,1,6.0224
stagger,1,6.8395,1,6.0224
ridg,1,6.8395,1,7.0332
8x10,1,6.8395,1,4.2854
ampli,1,6.8395,1,7.284
astronaut,1,6.8395,1,7.284
sci,1,6.8395,1,7.9193
maslen,1,6.8395,1,7.9193
emerg,1,6.8395,1,6.1586
director,1,6.8395,1,4.0316
white,1,6.8395,2,6.7391
unaccompani,1,6.8395,1,4.4246
colour,1,6.8395,1,4.0316
fission,1,6.8395,1,4.4246
bomb,1,6.8395,4,10.7463
told,1,6.8395,1,4.4246
richmond,1,6.8395,1,6.8562
one8x10,1,6.8395,1,6.8562
realize,1,6.8395,1,9.1624
equilibria,1,6.8395,1,6.8275
slider,1,6.8395,2,12.4746
laufer,1,6.8395,1,6.3011
waist,1,6.8395,1,7.6955
glanc,1,6.8395,1,7.6955
dispos,1,6.8395,1,6.35
townsend,1,6.8395,2,9.6985
squareft,1,6.8395,1,7.0942
ara,1,6.8395,1,5.6871
vas,1,6.8395,1,4.4853
sakurai,1,6.8395,1,4.4853
lin,1,6.8395,1,4.4853
2n,1,6.8395,1,7.5185
ref,1,6.8395,1,6.5276
theta,1,6.8395,1,7.3827
trefitz,1,6.8395,1,7.3827
educ,1,6.8395,1,4.0316
bore,1,6.8395,1,4.0316
floccul,1,6.8395,1,4.0316
wax,1,6.8395,1,4.0316
smell,1,6.8395,1,4.0316
irrit,1,6.8395,1,4.0316
corros,1,6.8395,1,4.0316
undamp,1,6.8395,1,6.7991
meksyn,1,6.8395,1,9.4266
largeth,1,6.8395,1,8.8642
crabtre,1,6.8395,1,8.676
drift,1,6.8395,1,5.8084
tsion,1,6.8395,1,5.8084
blowout,1,6.8395,1,7.8811
zoom,1,6.8395,2,11.388
affirm,1,6.8395,1,4.932
zehnder,1,6.8395,1,6.8275
charter,1,6.8395,1,6.8275
bergdolt,1,6.8395,2,10.2458
gies,1,6.8395,2,10.2458
demarc,1,6.8395,1,6.8275
bertram,1,6.8395,2,10.2458
letter,1,6.8395,1,6.8275
companion,1,6.8395,1,7.9578
servo,1,6.8395,1,7.9578
relay,1,6.8395,1,7.9578
optimizationddesign,1,6.8395,1,7.9578
behaviorccontrol,1,6.8395,1,7.9578
systemsbestim,1,6.8395,1,7.9578
nonslationari,1,6.8395,1,7.9578
toa,1,6.8395,1,7.9578
methodof,1,6.8395,1,7.9578
thesecond,1,6.8395,1,7.9578
radom,1,6.8395,1,4.5732
spenc,1,6.8395,1,5.8084
pinkerton,1,6.8395,1,5.8084
london,1,6.8395,1,8.5849
roy,1,6.8395,1,8.5849
winni,1,6.8395,2,12.105
pierci,1,6.8395,2,12.105
rott,1,6.8395,1,8.676
illingworth,1,6.8395,2,10.7867
kemp,1,6.8395,1,8.8642
unspecifi,1,6.8395,1,7.3166
nonrigor,1,6.8395,1,6.0671
enthalp,1,6.8395,1,6.0671
enthalpyus,1,6.8395,1,6.0671
empiricalintermedi,1,6.8395,1,6.0671
dashthat,1,6.8395,1,6.0671
monoxid,1,6.8395,1,10.1276
promin,1,6.8395,1,7.9968
compression,1,6.8395,1,7.9968
interstellar,1,6.8395,1,7.9968
teller,1,6.8395,1,7.9968
hoffman,1,6.8395,1,7.9968
unrelativist,1,6.8395,1,7.9578
relativist,1,6.8395,1,7.9578
bimolecular,1,6.8395,2,7.7452
worthwhil,1,6.8395,1,9.1113
dana,1,6.8395,1,8.3652
nomenclatur,1,6.8395,1,8.3652
heavier,1,6.8395,1,8.3652
anyway,1,6.8395,1,6.6606
obscur,1,6.8395,1,6.6606
fifteenon,1,6.8395,1,6.6606
murray,1,6.8395,2,10.0566
semiinfinit,1,6.8395,1,6.6606
tacit,1,6.8395,1,9.0109
constantsthey,1,6.8395,1,7.7687
garrick,1,6.8395,1,7.8433
diagon,1,6.8395,1,7.8433
subsonicsuperson,1,6.8395,1,8.54
adjoint,1,6.8395,1,7.1252
corpuscular,1,6.8395,1,7.2516
unfamiliar,1,6.8395,1,7.3827
kopal,1,6.8395,1,8.0361
carter,1,6.8395,1,8.1564
excus,1,6.8395,1,4.3193
frustrat,1,6.8395,1,4.3193
seren,1,6.8395,1,4.3193
academ,1,6.8395,1,4.3193
threaten,1,6.8395,1,4.3193
usag,1,6.8395,1,4.3193
enjoy,1,6.8395,2,7.1364
terminolog,1,6.8395,1,4.3193
undetermin,1,6.8395,1,6.1819
nontrivi,1,6.8395,1,6.4249
mil,1,6.8395,1,6.885
howorth,1,6.8395,1,8.8642
competit,1,6.8395,1,7.9968
overst,1,6.8395,1,7.9968
tetrachlorid,1,6.8395,1,7.9968
methanol,1,6.8395,1,7.9968
provis,1,6.8395,1,5.441
electrod,1,6.8395,1,5.441
accru,1,6.8395,1,5.441
poiscuill,1,6.8395,1,5.441
seed,1,6.8395,2,8.6011
prospect,1,6.8395,1,5.441
oversimplif,1,6.8395,1,5.0075
zamm,1,6.8395,1,5.0075
homann,1,6.8395,1,5.0075
invok,1,6.8395,1,8.2386
forst,1,6.8395,1,9.2141
schuh,1,6.8395,2,8.7158
repetit,1,6.8395,1,5.5331
poetic,1,6.8395,1,4.3193
licens,1,6.8395,1,4.3193
aerothermochem,1,6.8395,1,4.3193
national,1,6.8395,1,4.3193
speric,1,6.8395,1,7.4162
eratur,1,6.8395,1,7.4162
dorodnitsyn,1,6.8395,1,6.1586
jefferi,1,6.8395,1,7.4841
jacobian,1,6.8395,1,7.4841
hamel,1,6.8395,2,10.9677
jeffrey,1,6.8395,1,7.4841
bluntnos,1,6.8395,1,5.8084
recurs,1,6.8395,1,5.8084
wilson,1,6.8395,1,7.4162
