Query_ID,Doc_ID,Rank,Doc_Length,Term,TF(f),IDF_BM25,Numerator,Denominator,Term_BM25_Score
5,943,4,90,system,1,2.8082,3.0,2.9299,2.8754
5,552,5,124,chemic,2,3.5686,6.0,4.3568,4.9146
5,552,5,124,kinet,1,4.0063,3.0,3.3568,3.5804
5,552,5,124,hyperson,1,2.1062,3.0,3.3568,1.8823
5,552,5,124,problem,2,1.4657,6.0,4.3568,2.0186
5,968,6,103,chemic,1,3.5686,3.0,3.0931,3.4612
5,968,6,103,system,5,2.8082,15.0,7.0931,5.9385
5,968,6,103,applic,2,1.8536,6.0,4.0931,2.7171
5,1296,7,125,chemic,2,3.5686,6.0,4.3693,4.9005
5,1296,7,125,kinet,1,4.0063,3.0,3.3693,3.5671
5,1296,7,125,hyperson,3,2.1062,9.0,5.3693,3.5304
5,625,8,192,chemic,1,3.5686,3.0,4.2105,2.5427
5,625,8,192,kinet,1,4.0063,3.0,4.2105,2.8545
5,625,8,192,hyperson,3,2.1062,9.0,6.2105,3.0522
5,625,8,192,aerodynam,1,2.0548,3.0,4.2105,1.464
5,625,8,192,problem,1,1.4657,3.0,4.2105,1.0443
5,368,9,76,system,3,2.8082,9.0,4.7542,5.3161
5,368,9,76,applic,1,1.8536,3.0,2.7542,2.019
5,368,9,76,problem,4,1.4657,12.0,5.7542,3.0567
5,1374,10,78,chemic,2,3.5686,6.0,3.7793,5.6656
5,1374,10,78,applic,1,1.8536,3.0,2.7793,2.0008
5,1374,10,78,hyperson,1,2.1062,3.0,2.7793,2.2735
6,491,1,65,theoret,1,1.7832,3.0,2.6161,2.0449
6,491,1,65,turbul,3,2.2648,9.0,4.6161,4.4156
6,491,1,65,couett,3,4.8936,9.0,4.6161,9.5411
6,491,1,65,flow,5,0.6512,15.0,6.6161,1.4764
6,257,2,116,experiment,1,1.4175,3.0,3.2563,1.3059
6,257,2,116,turbul,6,2.2648,18.0,8.2563,4.9375
6,257,2,116,couett,1,4.8936,3.0,3.2563,4.5083
6,257,2,116,flow,7,0.6512,21.0,9.2563,1.4774
6,386,3,53,couett,3,4.8936,9.0,4.4654,9.863
6,386,3,53,flow,4,0.6512,12.0,5.4654,1.4298
6,385,4,28,couett,2,4.8936,6.0,3.1515,9.3165
6,385,4,28,flow,2,0.6512,6.0,3.1515,1.2398
6,798,5,341,guid,1,4.3827,3.0,6.0812,2.1621
6,798,5,341,turbul,8,2.2648,24.0,13.0812,4.1552
6,798,5,341,flow,5,0.6512,15.0,10.0812,0.969
6,798,5,341,behaviour,1,3.9308,3.0,6.0812,1.9391
6,767,6,153,theoret,4,1.7832,12.0,6.7209,3.1839
6,767,6,153,experiment,3,1.4175,9.0,5.7209,2.2299
6,767,6,153,flow,1,0.6512,3.0,3.7209,0.525
6,767,6,153,behaviour,1,3.9308,3.0,3.7209,3.1692
6,406,7,126,turbul,2,2.2648,6.0,4.3819,3.1011
6,406,7,126,flow,1,0.6512,3.0,3.3819,0.5777
6,406,7,126,behaviour,2,3.9308,6.0,4.3819,5.3823
6,1273,8,85,couett,2,4.8936,6.0,3.8672,7.5925
6,1273,8,85,flow,5,0.6512,15.0,6.8672,1.4225
6,1374,9,78,theoret,2,1.7832,6.0,3.7793,2.8311
6,1374,9,78,experiment,1,1.4175,3.0,2.7793,1.53
6,1374,9,78,turbul,2,2.2648,6.0,3.7793,3.5956
6,1374,9,78,flow,2,0.6512,6.0,3.7793,1.0339
6,610,10,85,theoret,2,1.7832,6.0,3.8672,2.7667
6,610,10,85,experiment,1,1.4175,3.0,2.8672,1.4831
6,610,10,85,turbul,2,2.2648,6.0,3.8672,3.5138
6,610,10,85,flow,3,0.6512,9.0,4.8672,1.2042
7,492,1,34,pressur,4,0.9305,12.0,5.2269,2.1362
7,492,1,34,distribut,1,1.3547,3.0,2.2269,1.825
7,492,1,34,ogiv,2,4.5708,6.0,3.2269,8.4989
7,492,1,34,forebodi,2,5.1049,6.0,3.2269,9.492
7,492,1,34,zero,1,1.5296,3.0,2.2269,2.0606
7,492,1,34,angl,4,1.886,12.0,5.2269,4.3299
7,492,1,34,attack,4,2.5044,12.0,5.2269,5.7496
7,492,1,34,lower,1,2.9077,3.0,2.2269,3.9172
7,492,1,34,surfac,2,1.4443,6.0,3.2269,2.6856
7,492,1,34,pressur,4,0.9305,12.0,5.2269,2.1362
7,492,1,34,ogiv,2,4.5708,6.0,3.2269,8.4989
7,492,1,34,forebodi,2,5.1049,6.0,3.2269,9.492
7,492,1,34,angl,4,1.886,12.0,5.2269,4.3299
7,492,1,34,attack,4,2.5044,12.0,5.2269,5.7496
7,434,2,143,ogiv,1,4.5708,3.0,3.5953,3.8139
7,434,2,143,forebodi,5,5.1049,15.0,7.5953,10.0816
7,434,2,143,zero,2,1.5296,6.0,4.5953,1.9971
7,434,2,143,angl,5,1.886,15.0,7.5953,3.7247
7,434,2,143,attack,1,2.5044,3.0,3.5953,2.0897
7,434,2,143,ogiv,1,4.5708,3.0,3.5953,3.8139
7,434,2,143,forebodi,5,5.1049,15.0,7.5953,10.0816
7,434,2,143,angl,5,1.886,15.0,7.5953,3.7247
7,434,2,143,attack,1,2.5044,3.0,3.5953,2.0897
7,973,3,66,pressur,1,0.9305,3.0,2.6286,1.062
7,973,3,66,ogiv,2,4.5708,6.0,3.6286,7.5579
7,973,3,66,forebodi,1,5.1049,3.0,2.6286,5.8261
7,973,3,66,angl,1,1.886,3.0,2.6286,2.1525
7,973,3,66,attack,1,2.5044,3.0,2.6286,2.8582
7,973,3,66,pressur,1,0.9305,3.0,2.6286,1.062
7,973,3,66,ogiv,2,4.5708,6.0,3.6286,7.5579
7,973,3,66,forebodi,1,5.1049,3.0,2.6286,5.8261
7,973,3,66,angl,1,1.886,3.0,2.6286,2.1525
7,973,3,66,attack,1,2.5044,3.0,2.6286,2.8582
7,57,4,110,relat,1,1.8004,3.0,3.181,1.6979
7,57,4,110,pressur,5,0.9305,15.0,7.181,1.9436
7,57,4,110,distribut,5,1.3547,15.0,7.181,2.8297
7,57,4,110,ogiv,3,4.5708,9.0,5.181,7.94
7,57,4,110,zero,2,1.5296,6.0,4.181,2.195
7,57,4,110,angl,1,1.886,3.0,3.181,1.7787
7,57,4,110,attack,1,2.5044,3.0,3.181,2.3619
7,57,4,110,pressur,5,0.9305,15.0,7.181,1.9436
7,57,4,110,ogiv,3,4.5708,9.0,5.181,7.94
7,57,4,110,angl,1,1.886,3.0,3.181,1.7787
7,57,4,110,attack,1,2.5044,3.0,3.181,2.3619
7,122,5,133,relat,1,1.8004,3.0,3.4698,1.5566
7,122,5,133,avail,1,2.8443,3.0,3.4698,2.4592
7,122,5,133,pressur,2,0.9305,6.0,4.4698,1.249
7,122,5,133,zero,3,1.5296,9.0,5.4698,2.5167
7,122,5,133,angl,4,1.886,12.0,6.4698,3.4981
7,122,5,133,attack,4,2.5044,12.0,6.4698,4.645
7,122,5,133,lower,1,2.9077,3.0,3.4698,2.514
7,122,5,133,surfac,2,1.4443,6.0,4.4698,1.9388
7,122,5,133,pressur,2,0.9305,6.0,4.4698,1.249
7,122,5,133,equival,2,3.4272,6.0,4.4698,4.6005
7,122,5,133,angl,4,1.886,12.0,6.4698,3.4981
7,122,5,133,attack,4,2.5044,12.0,6.4698,4.645
7,56,6,126,pressur,6,0.9305,18.0,8.3819,1.9982
7,56,6,126,distribut,5,1.3547,15.0,7.3819,2.7527
7,56,6,126,ogiv,2,4.5708,6.0,4.3819,6.2586
7,56,6,126,zero,2,1.5296,6.0,4.3819,2.0944
7,56,6,126,angl,2,1.886,6.0,4.3819,2.5824
7,56,6,126,attack,2,2.5044,6.0,4.3819,3.4292
7,56,6,126,pressur,6,0.9305,18.0,8.3819,1.9982
7,56,6,126,ogiv,2,4.5708,6.0,4.3819,6.2586
7,56,6,126,angl,2,1.886,6.0,4.3819,2.5824
7,56,6,126,attack,2,2.5044,6.0,4.3819,3.4292
7,232,7,154,pressur,5,0.9305,15.0,7.7334,1.8048
7,232,7,154,distribut,2,1.3547,6.0,4.7334,1.7172
7,232,7,154,ogiv,2,4.5708,6.0,4.7334,5.7938
7,232,7,154,zero,2,1.5296,6.0,4.7334,1.9388
7,232,7,154,angl,3,1.886,9.0,5.7334,2.9605
7,232,7,154,attack,1,2.5044,3.0,3.7334,2.0124
7,232,7,154,surfac,1,1.4443,3.0,3.7334,1.1606
7,232,7,154,pressur,5,0.9305,15.0,7.7334,1.8048
7,232,7,154,ogiv,2,4.5708,6.0,4.7334,5.7938
7,232,7,154,angl,3,1.886,9.0,5.7334,2.9605
7,232,7,154,attack,1,2.5044,3.0,3.7334,2.0124
7,1040,8,305,possibl,1,2.2047,3.0,5.6292,1.175
7,1040,8,305,pressur,9,0.9305,27.0,13.6292,1.8433
7,1040,8,305,distribut,1,1.3547,3.0,5.6292,0.722
7,1040,8,305,forebodi,7,5.1049,21.0,11.6292,9.2184
7,1040,8,305,zero,2,1.5296,6.0,6.6292,1.3844
7,1040,8,305,angl,3,1.886,9.0,7.6292,2.2249
7,1040,8,305,pressur,9,0.9305,27.0,13.6292,1.8433
7,1040,8,305,forebodi,7,5.1049,21.0,11.6292,9.2184
7,1040,8,305,angl,3,1.886,9.0,7.6292,2.2249
7,124,9,126,avail,1,2.8443,3.0,3.3819,2.5231
7,124,9,126,pressur,2,0.9305,6.0,4.3819,1.2741
7,124,9,126,ogiv,2,4.5708,6.0,4.3819,6.2586
7,124,9,126,zero,1,1.5296,3.0,3.3819,1.3568
7,124,9,126,angl,1,1.886,3.0,3.3819,1.673
7,124,9,126,attack,1,2.5044,3.0,3.3819,2.2216
7,124,9,126,pressur,2,0.9305,6.0,4.3819,1.2741
7,124,9,126,equival,1,3.4272,3.0,3.3819,3.0402
7,124,9,126,ogiv,2,4.5708,6.0,4.3819,6.2586
7,124,9,126,angl,1,1.886,3.0,3.3819,1.673
7,124,9,126,attack,1,2.5044,3.0,3.3819,2.2216
7,1231,10,103,pressur,5,0.9305,15.0,7.0931,1.9677
7,1231,10,103,distribut,3,1.3547,9.0,5.0931,2.3938
7,1231,10,103,zero,3,1.5296,9.0,5.0931,2.7029
7,1231,10,103,angl,5,1.886,15.0,7.0931,3.9884
7,1231,10,103,attack,3,2.5044,9.0,5.0931,4.4254
7,1231,10,103,surfac,4,1.4443,12.0,6.0931,2.8445
7,1231,10,103,pressur,5,0.9305,15.0,7.0931,1.9677
7,1231,10,103,angl,5,1.886,15.0,7.0931,3.9884
7,1231,10,103,attack,3,2.5044,9.0,5.0931,4.4254
8,122,1,133,method,8,1.1235,24.0,10.4698,2.5755
8,122,1,133,exact,1,2.4871,3.0,3.4698,2.1503
8,122,1,133,approxim,3,1.3087,9.0,5.4698,2.1534
8,122,1,133,present,1,1.0154,3.0,3.4698,0.878
8,122,1,133,avail,1,2.8443,3.0,3.4698,2.4592
8,122,1,133,bodi,8,1.5631,24.0,10.4698,3.583
8,122,1,133,pressur,2,0.9305,6.0,4.4698,1.249
8,122,1,133,angl,4,1.886,12.0,6.4698,3.4981
8,122,1,133,attack,4,2.5044,12.0,6.4698,4.645
8,492,2,34,method,1,1.1235,3.0,2.2269,1.5136
8,492,2,34,approxim,2,1.3087,6.0,3.2269,2.4334
8,492,2,34,present,1,1.0154,3.0,2.2269,1.368
8,492,2,34,predict,1,1.9797,3.0,2.2269,2.667
8,492,2,34,bodi,1,1.5631,3.0,2.2269,2.1057
8,492,2,34,pressur,4,0.9305,12.0,5.2269,2.1362
8,492,2,34,angl,4,1.886,12.0,5.2269,4.3299
8,492,2,34,attack,4,2.5044,12.0,5.2269,5.7496
8,443,3,134,dash,1,4.8936,3.0,3.4823,4.2158
8,443,3,134,approxim,1,1.3087,3.0,3.4823,1.1275
8,443,3,134,dash,1,4.8936,3.0,3.4823,4.2158
8,443,3,134,present,1,1.0154,3.0,3.4823,0.8748
8,443,3,134,pressur,3,0.9305,9.0,5.4823,1.5275
8,443,3,134,angl,4,1.886,12.0,6.4823,3.4913
8,443,3,134,attack,3,2.5044,9.0,5.4823,4.1113
8,1231,4,103,method,1,1.1235,3.0,3.0931,1.0897
8,1231,4,103,approxim,3,1.3087,9.0,5.0931,2.3126
8,1231,4,103,predict,2,1.9797,6.0,4.0931,2.9019
8,1231,4,103,bodi,2,1.5631,6.0,4.0931,2.2912
8,1231,4,103,pressur,5,0.9305,15.0,7.0931,1.9677
8,1231,4,103,angl,5,1.886,15.0,7.0931,3.9884
8,1231,4,103,attack,3,2.5044,9.0,5.0931,4.4254
8,711,5,91,dash,1,4.8936,3.0,2.9425,4.9892
8,711,5,91,dash,1,4.8936,3.0,2.9425,4.9892
8,711,5,91,angl,4,1.886,12.0,5.9425,3.8085
8,711,5,91,attack,4,2.5044,12.0,5.9425,5.0572
8,569,6,168,dash,2,4.8936,6.0,4.9092,5.9809
8,569,6,168,approxim,1,1.3087,3.0,3.9092,1.0043
8,569,6,168,dash,2,4.8936,6.0,4.9092,5.9809
8,569,6,168,predict,1,1.9797,3.0,3.9092,1.5192
8,569,6,168,bodi,3,1.5631,9.0,5.9092,2.3806
8,569,6,168,pressur,7,0.9305,21.0,9.9092,1.9719
8,69,7,83,method,1,1.1235,3.0,2.842,1.186
8,69,7,83,avail,1,2.8443,3.0,2.842,3.0024
8,69,7,83,predict,3,1.9797,9.0,4.842,3.6796
8,69,7,83,bodi,1,1.5631,3.0,2.842,1.6499
8,69,7,83,angl,3,1.886,9.0,4.842,3.5055
8,69,7,83,attack,3,2.5044,9.0,4.842,4.6549
8,234,8,209,method,10,1.1235,30.0,13.4239,2.5109
8,234,8,209,present,1,1.0154,3.0,4.4239,0.6886
8,234,8,209,predict,8,1.9797,24.0,11.4239,4.159
8,234,8,209,bodi,10,1.5631,30.0,13.4239,3.4932
8,234,8,209,pressur,5,0.9305,15.0,8.4239,1.6569
8,234,8,209,angl,2,1.886,6.0,5.4239,2.0863
8,234,8,209,attack,2,2.5044,6.0,5.4239,2.7703
8,248,9,71,method,1,1.1235,3.0,2.6914,1.2524
8,248,9,71,exact,1,2.4871,3.0,2.6914,2.7722
